               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.04056,            0.033065,                   0,             0.85621,              0.6187,             0.71865,             0.44487,            0.039485,            0.030785,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.040389,            0.033116,                   0,             0.85152,             0.62293,             0.71899,             0.44491,            0.039442,            0.030793,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.040317,             0.03308,                   0,             0.85682,             0.62102,             0.71805,             0.44522,            0.039425,            0.030726,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.040296,            0.032762,                   0,             0.85565,             0.62169,             0.71908,             0.44624,            0.039411,            0.030703,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.040272,            0.032843,                   0,             0.86751,             0.61371,              0.7197,             0.44674,            0.039381,            0.030656,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.040112,            0.032591,                   0,             0.84687,             0.62588,             0.72089,             0.44774,            0.039328,            0.030654,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.040229,            0.033175,                   0,              0.8732,             0.61285,             0.72218,             0.44865,            0.039286,            0.030633,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.040067,            0.032582,                   0,             0.85587,             0.62368,             0.72192,             0.44866,            0.039249,            0.030611,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.040196,            0.032821,                   0,             0.86482,             0.61612,             0.72145,              0.4497,            0.039218,            0.030585,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.03987,            0.032674,                   0,             0.87144,             0.61446,             0.72161,             0.44968,            0.039165,            0.030577,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.039952,            0.032671,                   0,             0.87598,             0.61507,             0.72277,             0.45021,            0.039113,            0.030522,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.039764,            0.032213,                   0,             0.87152,             0.61612,             0.72332,             0.45074,            0.039088,            0.030534,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.039746,            0.032398,                   0,             0.88176,             0.61221,             0.72362,             0.45069,            0.039052,            0.030511,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.039767,            0.032533,                   0,             0.83086,             0.63919,             0.72466,             0.45157,            0.039012,            0.030475,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.039624,            0.032618,                   0,             0.88223,             0.61305,             0.72443,             0.45171,             0.03898,            0.030457,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.039634,            0.032198,                   0,             0.85583,             0.62659,             0.72527,             0.45218,            0.038946,            0.030405,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.039728,             0.03272,                   0,             0.85966,             0.62504,              0.7252,             0.45307,            0.038906,             0.03039,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.039789,            0.032326,                   0,             0.85311,             0.62759,             0.72555,             0.45381,            0.038858,            0.030365,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.039508,            0.032106,                   0,              0.8755,             0.61861,             0.72645,             0.45404,            0.038826,            0.030357,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.039571,            0.032244,                   0,              0.8595,             0.62642,              0.7273,             0.45483,            0.038785,            0.030343,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.039642,            0.032712,                   0,             0.85414,             0.62991,             0.72714,             0.45456,            0.038758,            0.030339,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.039384,            0.032256,                   0,             0.85844,             0.62933,             0.72757,              0.4548,             0.03873,            0.030317,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.039403,             0.03221,                   0,             0.85497,             0.63116,             0.72749,             0.45539,            0.038707,            0.030297,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.039324,            0.032109,                   0,             0.85243,             0.63099,             0.72739,             0.45524,            0.038698,            0.030283,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.039045,             0.03196,                   0,             0.85199,             0.63182,             0.72728,             0.45587,            0.038676,            0.030262,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.039163,            0.032051,                   0,              0.8494,              0.6329,             0.72741,             0.45645,            0.038655,            0.030258,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.039054,             0.03184,                   0,             0.87445,             0.62002,             0.72834,             0.45608,            0.038629,            0.030232,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.039303,            0.032188,                   0,             0.85735,             0.63025,             0.72948,              0.4565,            0.038609,            0.030226,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.039119,             0.03218,                   0,             0.85672,             0.63049,             0.72914,             0.45679,             0.03859,            0.030214,                   0,            0.008145,            0.008145,            0.008145
